,variable,alpha_pos,alpha_neg,beta,alpha_pos_hat,alpha_neg_hat,beta_hat,n_trials,n_blocks,n_sp,alpha_pos_level,alpha_neg_level,beta_level
25,alpha_pos,0.5555555555555556,0.1,10.0,0.5178626570245144,0.23506915064469505,6.390664222938856,100,2,1,variable,low,high
26,alpha_pos,0.6666666666666666,0.1,10.0,0.47294227069243566,0.30717225332387654,6.142041477880077,100,2,1,variable,low,high
27,alpha_pos,0.7777777777777777,0.1,10.0,0.6402253779160733,0.2877012178699677,4.774000966396255,100,2,1,variable,low,high
28,alpha_pos,0.8888888888888888,0.1,10.0,0.8711435563188454,0.2480562948288764,3.34685991029326,100,2,1,variable,low,high
29,alpha_pos,1.0,0.1,10.0,0.894460580439676,0.3263731316685067,4.492650273908401,100,2,1,variable,low,high
30,alpha_pos,0.0,0.3,3.0,0.0,0.0,0.0,100,2,1,variable,medium,low
31,alpha_pos,0.1111111111111111,0.3,3.0,0.4247123806471451,1.0,2.385604682484211,100,2,1,variable,medium,low
32,alpha_pos,0.2222222222222222,0.3,3.0,0.0,0.0,0.0,100,2,1,variable,medium,low
33,alpha_pos,0.3333333333333333,0.3,3.0,0.0,0.0,0.0,100,2,1,variable,medium,low
34,alpha_pos,0.4444444444444444,0.3,3.0,0.1288365500997778,0.04934359981287949,7.098327308721539,100,2,1,variable,medium,low
35,alpha_pos,0.5555555555555556,0.3,3.0,0.8790454763904285,0.4940191023672309,2.488813626657442,100,2,1,variable,medium,low
36,alpha_pos,0.6666666666666666,0.3,3.0,1.0,0.26263617328373823,3.7103116866193293,100,2,1,variable,medium,low
37,alpha_pos,0.7777777777777777,0.3,3.0,0.4468065448227245,0.3581336647780309,3.203846228522647,100,2,1,variable,medium,low
38,alpha_pos,0.8888888888888888,0.3,3.0,0.8013256194356898,0.2653151198691975,3.0093232359117823,100,2,1,variable,medium,low
39,alpha_pos,1.0,0.3,3.0,0.6738392400412347,0.6092506542648771,2.3844709779378332,100,2,1,variable,medium,low
40,alpha_pos,0.0,0.3,5.0,0.6383997066309957,0.0,1.9558653490520181,100,2,1,variable,medium,medium
41,alpha_pos,0.1111111111111111,0.3,5.0,0.0,0.0,0.0,100,2,1,variable,medium,medium
42,alpha_pos,0.2222222222222222,0.3,5.0,0.23255016250430288,0.21280578601553732,4.914998801042605,100,2,1,variable,medium,medium
43,alpha_pos,0.3333333333333333,0.3,5.0,0.24243360010739542,0.3365432470228535,6.727672020887065,100,2,1,variable,medium,medium
44,alpha_pos,0.4444444444444444,0.3,5.0,0.38341050685226247,0.2331931012765673,4.89148613157478,100,2,1,variable,medium,medium
45,alpha_pos,0.5555555555555556,0.3,5.0,0.5089579600272406,0.3199598537401811,6.716436253826765,100,2,1,variable,medium,medium
46,alpha_pos,0.6666666666666666,0.3,5.0,0.3675563011860217,0.614751388387102,5.312725412109129,100,2,1,variable,medium,medium
47,alpha_pos,0.7777777777777777,0.3,5.0,1.0,0.6015629093302741,3.931997062977098,100,2,1,variable,medium,medium
48,alpha_pos,0.8888888888888888,0.3,5.0,1.0,0.3092995142101635,4.423182783965409,100,2,1,variable,medium,medium
49,alpha_pos,1.0,0.3,5.0,1.0,0.468074215795462,3.246055093021568,100,2,1,variable,medium,medium
50,alpha_pos,0.0,0.3,10.0,1.0,0.0,0.0,100,2,1,variable,medium,high
51,alpha_pos,0.1111111111111111,0.3,10.0,0.0910111541598946,0.3296293554890974,10.822758535420006,100,2,1,variable,medium,high
52,alpha_pos,0.2222222222222222,0.3,10.0,0.20331967211671131,0.32073313958010785,13.117035344557168,100,2,1,variable,medium,high
53,alpha_pos,0.3333333333333333,0.3,10.0,0.45957312975846765,0.4085925299198595,8.803808174529674,100,2,1,variable,medium,high
54,alpha_pos,0.4444444444444444,0.3,10.0,0.513843978110109,0.3434944383715024,9.14486381934194,100,2,1,variable,medium,high
55,alpha_pos,0.5555555555555556,0.3,10.0,0.5278916925533842,0.2786515514784133,8.93649449015992,100,2,1,variable,medium,high
56,alpha_pos,0.6666666666666666,0.3,10.0,0.8580435808745622,0.35875379053419804,9.31125486948959,100,2,1,variable,medium,high
57,alpha_pos,0.7777777777777777,0.3,10.0,1.0,0.49987935475042794,10.428467755270558,100,2,1,variable,medium,high
58,alpha_pos,0.8888888888888888,0.3,10.0,0.9410713763815167,0.3422383101276873,9.709882761633116,100,2,1,variable,medium,high
59,alpha_pos,1.0,0.3,10.0,0.8059017715424645,0.3456319100532974,9.530226530149466,100,2,1,variable,medium,high
60,alpha_pos,0.0,0.6,3.0,0.0,0.0,0.0,100,2,1,variable,high,low
61,alpha_pos,0.1111111111111111,0.6,3.0,0.0,0.0,8.043422121400942,100,2,1,variable,high,low
62,alpha_pos,0.2222222222222222,0.6,3.0,0.028312579567707354,0.7062417540971198,16.747564098660877,100,2,1,variable,high,low
63,alpha_pos,0.3333333333333333,0.6,3.0,0.35734219953672963,0.5997253782687003,4.1664917225166285,100,2,1,variable,high,low
64,alpha_pos,0.4444444444444444,0.6,3.0,0.5747067070913314,0.3821870869346529,3.3095938337889703,100,2,1,variable,high,low
65,alpha_pos,0.5555555555555556,0.6,3.0,0.4426097466511966,0.10842306342156043,5.935899233936153,100,2,1,variable,high,low
66,alpha_pos,0.6666666666666666,0.6,3.0,0.7883456548389325,0.5848647155725206,2.5456701587921633,100,2,1,variable,high,low
67,alpha_pos,0.7777777777777777,0.6,3.0,1.0,0.761092964537541,2.5514066155394715,100,2,1,variable,high,low
68,alpha_pos,0.8888888888888888,0.6,3.0,0.5809978639445611,0.6520095803762328,3.9101575609643424,100,2,1,variable,high,low
69,alpha_pos,1.0,0.6,3.0,1.0,0.5950196159392814,2.9232220486098246,100,2,1,variable,high,low
70,alpha_pos,0.0,0.6,5.0,0.0,0.0,0.0,100,2,1,variable,high,medium
71,alpha_pos,0.1111111111111111,0.6,5.0,0.19807289371488268,0.2737754310634795,3.967173583570982,100,2,1,variable,high,medium
72,alpha_pos,0.2222222222222222,0.6,5.0,0.9258170139617005,0.5131053802754164,2.4723576104954734,100,2,1,variable,high,medium
73,alpha_pos,0.3333333333333333,0.6,5.0,0.6745915054865644,0.5275844118621743,3.881936004097028,100,2,1,variable,high,medium
74,alpha_pos,0.4444444444444444,0.6,5.0,1.0,0.9886034385371459,4.156660561759123,100,2,1,variable,high,medium
75,alpha_pos,0.5555555555555556,0.6,5.0,0.241725836151306,0.8277067991533992,6.409015587327774,100,2,1,variable,high,medium
76,alpha_pos,0.6666666666666666,0.6,5.0,1.0,0.3690144312789696,4.44986983176559,100,2,1,variable,high,medium
77,alpha_pos,0.7777777777777777,0.6,5.0,0.6763835011058232,0.41373795850772643,6.470529196938341,100,2,1,variable,high,medium
78,alpha_pos,0.8888888888888888,0.6,5.0,0.8065013469899039,0.6877468666972735,4.204406660353393,100,2,1,variable,high,medium
79,alpha_pos,1.0,0.6,5.0,0.9739714774522156,1.0,4.072906497344015,100,2,1,variable,high,medium
80,alpha_pos,0.0,0.6,10.0,0.0,0.0,0.0,100,2,1,variable,high,high
81,alpha_pos,0.1111111111111111,0.6,10.0,0.05466453720600105,0.44139437137337284,17.133008258758,100,2,1,variable,high,high
82,alpha_pos,0.2222222222222222,0.6,10.0,0.14882289846060426,0.66520442757614,13.843424350005174,100,2,1,variable,high,high
83,alpha_pos,0.3333333333333333,0.6,10.0,0.440165643194207,0.5112938744748884,9.681479618869647,100,2,1,variable,high,high
84,alpha_pos,0.4444444444444444,0.6,10.0,0.36511013191379854,0.6625037804320781,9.174387982372755,100,2,1,variable,high,high
85,alpha_pos,0.5555555555555556,0.6,10.0,0.5521821509434711,0.5938803234665978,8.250784830480642,100,2,1,variable,high,high
86,alpha_pos,0.6666666666666666,0.6,10.0,0.5189159602877969,0.5768031050718837,11.389216451436912,100,2,1,variable,high,high
87,alpha_pos,0.7777777777777777,0.6,10.0,0.2861912390827779,0.7201277314780025,19.99617949736885,100,2,1,variable,high,high
88,alpha_pos,0.8888888888888888,0.6,10.0,0.7083073770419961,0.6557863691732101,11.537181001099105,100,2,1,variable,high,high
89,alpha_pos,1.0,0.6,10.0,0.8018306256423972,0.6936436968502387,13.072488012056196,100,2,1,variable,high,high
90,alpha_neg,0.1,0.0,3.0,0.0,0.0,8.096633190494146,100,2,1,low,variable,low
91,alpha_neg,0.1,0.1111111111111111,3.0,0.02522651752552647,0.052331545907784036,7.857165484625459,100,2,1,low,variable,low
92,alpha_neg,0.1,0.2222222222222222,3.0,0.0,0.0,0.0,100,2,1,low,variable,low
93,alpha_neg,0.1,0.3333333333333333,3.0,0.0,0.0,0.0,100,2,1,low,variable,low
94,alpha_neg,0.1,0.4444444444444444,3.0,0.0,0.0,0.0,100,2,1,low,variable,low
95,alpha_neg,0.1,0.5555555555555556,3.0,0.03471716960049877,0.0349258214539989,6.442152221222781,100,2,1,low,variable,low
96,alpha_neg,0.1,0.6666666666666666,3.0,0.007932261876909957,0.42331477434826453,20.0,100,2,1,low,variable,low
97,alpha_neg,0.1,0.7777777777777777,3.0,0.0,0.0,0.0,100,2,1,low,variable,low
98,alpha_neg,0.1,0.8888888888888888,3.0,0.0,0.0,0.0,100,2,1,low,variable,low
99,alpha_neg,0.1,1.0,3.0,0.0,0.0,0.0,100,2,1,low,variable,low
100,alpha_neg,0.1,0.0,5.0,0.3349953989298849,0.0,6.885070868707479,100,2,1,low,variable,medium
101,alpha_neg,0.1,0.1111111111111111,5.0,0.07362524806632806,0.11813958617861171,3.6639953582702693,100,2,1,low,variable,medium
102,alpha_neg,0.1,0.2222222222222222,5.0,0.0,0.0,0.0,100,2,1,low,variable,medium
103,alpha_neg,0.1,0.3333333333333333,5.0,0.014644492254638168,0.4112845571474847,20.0,100,2,1,low,variable,medium
104,alpha_neg,0.1,0.4444444444444444,5.0,0.09409811082923193,0.38930630430921287,5.665321852896744,100,2,1,low,variable,medium
105,alpha_neg,0.1,0.5555555555555556,5.0,0.01966134749531944,0.8365909536663422,20.0,100,2,1,low,variable,medium
106,alpha_neg,0.1,0.6666666666666666,5.0,0.36380615240774045,0.23792041299904865,2.4544567981326293,100,2,1,low,variable,medium
107,alpha_neg,0.1,0.7777777777777777,5.0,0.017270640546198906,1.0,20.0,100,2,1,low,variable,medium
108,alpha_neg,0.1,0.8888888888888888,5.0,0.014100125841808815,0.8294992133571192,20.0,100,2,1,low,variable,medium
109,alpha_neg,0.1,1.0,5.0,0.0,0.0,0.0,100,2,1,low,variable,medium
110,alpha_neg,0.1,0.0,10.0,0.128528428239695,0.005416841127823564,8.086481049016315,100,2,1,low,variable,high
111,alpha_neg,0.1,0.1111111111111111,10.0,0.04045822073083654,0.1524394359785675,19.629174754042428,100,2,1,low,variable,high
112,alpha_neg,0.1,0.2222222222222222,10.0,0.39661784364155755,0.33423036095037795,5.61960291933997,100,2,1,low,variable,high
113,alpha_neg,0.1,0.3333333333333333,10.0,0.04446500495476799,0.307981572746474,20.0,100,2,1,low,variable,high
114,alpha_neg,0.1,0.4444444444444444,10.0,0.047570274247217596,0.4550631242387401,20.0,100,2,1,low,variable,high
115,alpha_neg,0.1,0.5555555555555556,10.0,0.5418678605147389,0.49467473214795543,5.8293158336384066,100,2,1,low,variable,high
116,alpha_neg,0.1,0.6666666666666666,10.0,0.04105013458032311,0.6490461089738371,20.0,100,2,1,low,variable,high
117,alpha_neg,0.1,0.7777777777777777,10.0,0.21632137056151618,0.4429139599093738,3.8492101193119557,100,2,1,low,variable,high
118,alpha_neg,0.1,0.8888888888888888,10.0,0.07331262200061191,0.9421750792935281,20.0,100,2,1,low,variable,high
119,alpha_neg,0.1,1.0,10.0,0.04776429616099148,0.7238250470500839,20.0,100,2,1,low,variable,high
120,alpha_neg,0.3,0.0,3.0,0.0,0.0,0.0,100,2,1,medium,variable,low
121,alpha_neg,0.3,0.1111111111111111,3.0,0.017248531845001455,0.7791146357345952,20.0,100,2,1,medium,variable,low
122,alpha_neg,0.3,0.2222222222222222,3.0,0.1151722628911204,0.20574952486488338,4.389319433199495,100,2,1,medium,variable,low
123,alpha_neg,0.3,0.3333333333333333,3.0,0.0,0.0,0.0,100,2,1,medium,variable,low
124,alpha_neg,0.3,0.4444444444444444,3.0,0.1249090137939664,0.18103648425195748,4.245469901749947,100,2,1,medium,variable,low
125,alpha_neg,0.3,0.5555555555555556,3.0,0.5824253973024298,0.3187370733320502,2.854575340282752,100,2,1,medium,variable,low
126,alpha_neg,0.3,0.6666666666666666,3.0,0.6420236115680502,1.0,2.5731879572400382,100,2,1,medium,variable,low
127,alpha_neg,0.3,0.7777777777777777,3.0,0.020721604421970723,0.8575852721266545,20.0,100,2,1,medium,variable,low
128,alpha_neg,0.3,0.8888888888888888,3.0,0.43022091931400924,1.0,2.761479197154138,100,2,1,medium,variable,low
129,alpha_neg,0.3,1.0,3.0,0.0,0.0,0.0,100,2,1,medium,variable,low
130,alpha_neg,0.3,0.0,5.0,0.5745898671928662,0.03282113755048199,7.610378540392778,100,2,1,medium,variable,medium
131,alpha_neg,0.3,0.1111111111111111,5.0,0.0,0.0,0.0,100,2,1,medium,variable,medium
132,alpha_neg,0.3,0.2222222222222222,5.0,0.37713314732730424,0.6027112103193579,4.2815966558338605,100,2,1,medium,variable,medium
133,alpha_neg,0.3,0.3333333333333333,5.0,0.286177709129844,0.14656879201955844,4.389268255804566,100,2,1,medium,variable,medium
134,alpha_neg,0.3,0.4444444444444444,5.0,0.5759599359820924,0.529948372119616,3.7235924260793523,100,2,1,medium,variable,medium
135,alpha_neg,0.3,0.5555555555555556,5.0,0.2443984957245776,0.5606682858713424,6.972632506303268,100,2,1,medium,variable,medium
