,trial,block,state,p_r_0,ev_0,p_r_1,ev_1,r,a,corr,p_a_0,Q_0,p_a_1,Q_1,ll
60,60.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.5921225260860877,0.22257601945599997,0.4078774739139122,0.01806795121768401,-0.5240416957734001
61,61.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.7818777085518162,-0.1854731735480744,0.2181222914481839,-0.262724,-0.24605693359197703
62,62.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.013457985336144599,-0.1958,0.9865420146638554,0.17275181449215998,-0.01354936480260293
63,63.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.05546115448942179,-0.1958,0.9445388455105782,0.024746415303884772,-0.05705846476499984
64,64.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009312940022562945,-0.11,0.9906870599774371,0.49789388990619227,-0.009356576582915931
65,65.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.1549215128932417,-0.1958,0.8450784871067583,-0.09069779606296988,-0.16832577178841898
66,66.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.828230635284805,0.32244865245183996,0.171769364715195,0.01806795121768401,-0.18846361835338413
67,67.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009229236665271461,-0.11,0.9907707633347286,0.49865208953996304,-0.009272089942467195
68,68.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.3082148146024365,-0.1958,0.6917851853975636,-0.18074428092911649,-0.36847979728257096
69,69.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009176058097132437,-0.11,0.9908239419028676,0.49913733730557636,-0.009218417445249443
70,70.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009142183245758096,-0.11,0.990857816754242,0.49944789587556887,-0.009184229462007715
71,71.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.47107901258782875,-0.262724,0.5289209874121712,-0.18074428092911649,-0.7527294440714668
72,72.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,0.0,1.0,0.9122474220794489,0.14150994891243515,0.08775257792055108,0.01806795121768401,-0.09184402956220224
73,73.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.34737150421812923,-0.262724,0.6526284957818708,-0.25098053912471086,-0.4267472307718064
74,74.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009120568394108913,-0.11,0.9908794316058912,0.49964665336036407,-0.009162415418124811
75,75.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.7210254404625656,0.27056636730395844,0.27897455953743455,0.01806795121768401,-0.32708085735080356
76,76.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.47743176624809336,-0.262724,0.5225682337519066,-0.3057648205172745,-0.648999712756682
77,77.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,1.0,1.0,0.644336747617402,-0.1854731735480744,0.35566325238259805,-0.31492472,-1.0337709160686155
78,78.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.730228289625609,-0.25466907536749805,0.26977171037439085,-0.31492472,-0.31439806821359884
79,79.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,0.0,1.0,0.5820229211760923,0.011856639999999974,0.41797707882390767,-0.3057648205172745,-0.5412454485621313
80,80.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.9200658449350455,-0.10075182080000002,0.07993415506495448,-0.3057648205172745,-0.08331004091853174
81,81.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.82878249949491,-0.18858642022400002,0.17121750050509002,-0.3057648205172745,-0.18779752317414133
82,82.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009106761469469097,-0.11,0.990893238530531,0.499773858150633,-0.009148481504464486
83,83.0,0.0,1.0,0.25,-0.25,0.25,-0.25,0.5,0.0,1.0,0.6138453196943627,0.01701179176480122,0.38615468030563727,-0.31492472,-0.4880123048946379
84,84.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.711231431081963,-0.25709740777472,0.2887685689180371,-0.3057648205172745,-0.3407574013242814
85,85.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.00909793590793111,-0.11,0.9909020640920689,0.4998552692164051,-0.00913957487164898
86,86.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.8746041124828765,0.3531624750745334,0.12539588751712338,0.01806795121768401,-0.1339839378843964
87,87.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.5925132245498379,-0.25709740777472,0.40748677545016215,-0.3484965600034741,-0.8977467997108635
88,88.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,0.0,1.0,0.6688681678708495,0.015457659024179171,0.3311318321291505,-0.3484965600034741,-0.402168296761498
89,89.0,0.0,2.0,0.25,-0.25,0.75,0.25,-0.5,1.0,1.0,0.00909229199651492,-0.11,0.9909077080034852,0.27988710998879596,-0.009133879157059514
90,90.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,0.0,1.0,0.9294092585513438,0.16546673055813604,0.07059074144865618,0.01806795121768401,-0.07320610052232007
91,91.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.9426567910000616,-0.09794302596114025,0.05734320899993838,-0.3484965600034741,-0.05905301699694003
92,92.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,0.0,1.0,0.756546265115452,0.019064049835346097,0.24345373488454808,0.01806795121768401,-0.2789915908286814
93,93.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,0.0,1.0,0.872954137552161,0.11731646338487021,0.1270458624478389,-0.3484965600034741,-0.13587225882702178
94,94.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,1.0,1.0,0.5019155648927156,0.019064049835346097,0.49808443510728445,0.19156348877931775,-0.6969856679209894
95,95.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,0.0,1.0,0.9729639824202237,0.2550825365663169,0.02703601757977631,-0.3484965600034741,-0.02740821452113178
